商家ID,店名,地址,城市,州,纬度,经度,评分,评论数,分类,营业时间
awOKeCwbzutECzI4R6JGFg,Bacquet's Restaurant,"1117 E Winding Creek Dr, Ste 150",Eagle,ID,43.6940271587,-116.3394980505,4.5,190,"Nightlife, Modern European, French, Wine Bars, Seafood, American (New), Comfort Food, Caterers, Restaurants, Gluten-Free, Mediterranean, Italian, Bars, Event Planning & Services, Tapas/Small Plates, American (Traditional)","{'Monday': '0:0-0:0', 'Tuesday': '11:30-21:0', 'Wednesday': '11:30-21:0', 'Thursday': '11:30-21:0', 'Friday': '11:30-23:0', 'Saturday': '11:30-21:0'}"
cNH8949aoGjotaR1LvbGPw,Red Robin Gourmet Burgers and Brews,450 Brandon Town Center Mall,Brandon,FL,27.9323110069,-82.3260788749,3.0,208,"American (Traditional), Comfort Food, Desserts, Food, Restaurants, Salad, Burgers","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-22:0'}"
WzEzUDTWr4UQSQykujMwyg,Root,1800 Magazine St,New Orleans,LA,29.93178,-90.0733737,4.5,138,"Nightlife, Bars, Food, Restaurants, Specialty Food, Beer, Wine & Spirits, Wine Bars, Cocktail Bars, American (New)","{'Tuesday': '17:0-23:0', 'Wednesday': '17:0-23:0', 'Thursday': '17:0-23:0', 'Friday': '17:0-0:0', 'Saturday': '17:0-0:0'}"
JK0dQu47K-eYqW9e2CrzXQ,Leku Ona,117 S 6th St,Boise,ID,43.6140198,-116.2018065,3.0,141,"Basque, Cocktail Bars, Restaurants, Nightlife, Bars","{'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-0:0', 'Saturday': '11:0-0:0'}"
5SbXk54zWe22jg95R-8Fjw,The Stein & Vine,827 W Bloomingdale Ave,Brandon,FL,27.892866,-82.295219,4.5,908,"American (New), Nightlife, Restaurants, Wine Bars, Bars, Burgers, Pubs","{'Monday': '12:0-21:0', 'Tuesday': '12:0-21:0', 'Wednesday': '12:0-22:0', 'Thursday': '12:0-22:0', 'Friday': '12:0-23:0', 'Saturday': '12:0-23:0', 'Sunday': '12:0-21:0'}"
bN5qlSW0Z31uYDkrasFWDw,Natural Born Juicers,865 Massachusetts Ave,Indianapolis,IN,39.779016,-86.142934,4.5,191,"Juice Bars & Smoothies, Food","{'Monday': '7:0-19:0', 'Tuesday': '7:0-19:0', 'Wednesday': '7:0-19:0', 'Thursday': '7:0-19:0', 'Friday': '7:0-19:0', 'Saturday': '9:0-19:0', 'Sunday': '10:0-18:0'}"
aVslIwCbkM8zEKcJ_c9qIg,TGI Fridays,3301 Street Rd,Bensalem,PA,40.1207940477,-74.9605582237,2.0,154,"Sports Bars, Restaurants, Burgers, Nightlife, American (Traditional), Bars","{'Monday': '11:0-1:0', 'Tuesday': '11:0-1:0', 'Wednesday': '11:0-1:0', 'Thursday': '10:30-0:45', 'Friday': '10:30-1:45', 'Saturday': '11:0-2:0', 'Sunday': '11:0-2:0'}"
nm--zdNL0zWvUNE2uMK5_Q,Bunga Raya Restaurant & Sushi Bar,4952 Ridgemoor Blvd,Palm Harbor,FL,28.1005929,-82.6914139,4.0,133,"Restaurants, Sushi Bars, Chinese, Malaysian","{'Monday': '11:30-22:0', 'Tuesday': '11:30-22:0', 'Wednesday': '11:30-22:0', 'Thursday': '11:30-22:0', 'Friday': '11:30-22:0', 'Saturday': '12:0-22:0', 'Sunday': '16:30-21:0'}"
1Du1NruqJwxnzgEUHc42Jw,SB Sunshine Cafe,3514 State St,Santa Barbara,CA,34.4406561,-119.7387809,4.5,208,"Restaurants, American (New), Breakfast & Brunch, Diners","{'Monday': '0:0-0:0', 'Tuesday': '7:0-14:30', 'Wednesday': '7:0-14:30', 'Thursday': '7:0-14:30', 'Friday': '7:0-14:30', 'Saturday': '7:0-14:30', 'Sunday': '7:0-14:30'}"
hjkAhCQpWn7xY7oE9Tcaaw,54th Street Grill & Bar,6660 Edwardsville Crossing Dr,Glen Carbon,IL,38.788228,-89.952818,3.5,135,"American (Traditional), Bars, Nightlife, Restaurants, Burgers","{'Monday': '11:0-23:0', 'Tuesday': '11:0-23:0', 'Wednesday': '11:0-23:0', 'Thursday': '11:0-23:0', 'Friday': '11:0-0:0', 'Saturday': '11:0-0:0', 'Sunday': '11:0-23:0'}"
