用户ID,商家ID,评分,评语,评论时间
--56mD0sm1eOogphi2FFLw,bPVPZeqMuYtU_yGCb4P-jg,4.0,"Decided to come to the Public Market for lunch. This was my first time here, and was kind of overwhelmed by the choices. First saw the ice cream and wanted to go there, but I guess we had to eat lunch first. After walking around, Empty Bowl looked the most promising. 

This place is smack dab in the middle of the Marketplace and has limited bar seating. So if you plan on eating here, you may have to wait a bit for people to leave. If not, you can always order to go. I hope it's common knowledge that you shouldn't sit and chat after you've finished your meal ^_^

I ordered the Pad Thai. It came out nicely plated and I couldn't wait to dig in. They give you a fork, but there are tins of chopsticks on the bar. My dish was delicious.. not too sweet and the noodles had a good texture. The peanuts, spice, and bean sprouts are served on the side of the dish, so you can add to your liking. Obviously, I added everything except the additional bean sprouts. The Pad Thai was tasty and I wanted to eat it all! (I didn't and took home a doggy bag). 

While you wait for your food, you can watch the employees behind the bar. A guy was making Thai Tea right in front of us, which prompted a discussion about my mother wanting to try and make Thai Tea. The employees were super nice and friendly. 

It's no mystery that you should visit the ice cream place after you've finished your delicious meal here.",2019-07-27 00:54:18
--_N9jPdYR9WdJKQhekANg,dEMsUFNB4ckBFdB90jKLEA,1.0,"I'm only giving this place one star because I have to. 
When going there over the weekend we were the only customers in the entire place. When receiving the service we did we quickly realized why. There are 6 or more tvs in the establishment and we asked the manager Austin if he would put the baseball game on for us. He said no in the rudest and most unprofessional way and when asked if it was because he for some reason couldn't or if it was just simply because he didn't want to? His response was he just didn't want to. My friends and I said back that we would just leave then, after already had ordered drinks and food, so we couldn't even leave right away. He didn't try to make anything better just shrugged his shoulders and said ' I don't care, leave then.' We literally felt like we were in the presence of high schoolers at a home gathering rather than a business talking to a professional.... 
Our server that was working there was silent during all of this and never even came to check on us once after ordering, just avoided us all, and being that we were the only customers you can imagine how obvious this was. 
I finally managed to get his attention and asked for the names of the restaurant owner and the manager. And after giving me the owners name and the managers name he said quickly after, ""But if you're thinking about writing a bad review its just going to be a complete waste of time, the owner Matt and the manager Austin have been best friends since kindergarten."" 
So after he said that, and after I looked them up to write a review I see that this advice is most likely true. I should have known by all the horrible reviews and the fact we were the only customers there during dinner rush time, that it was most likely not a great place to go. 
I've never experienced such immaturity and unprofessionalism like this from a business ever in my life. 
My friends and I will never be returning.",2016-06-20 05:30:23
--u09WAjW741FdfkJXxNmg,pqcYTOo8kMYoNt4fjOm_vQ,3.0,"Gangchu chicken and beer is a cool hang out concept utilizing the popular Korean fried chicken craze! They also have a few ""bar"" type Korean food - bulgogi, bulgogi cheesesteak, rice cakes, ban Chan etc.

Service 5/5: our hostess and server were great! We were sat immediately and our server was very friendly / knowledgeable!

Cocktail 5/5: Clifton was so good! Citrus soju and gin work so well each other. seventh sun collaborated with gangchu to create K-hop which was refreshing and paired great with chicken.

Food 2/5: lots of kinks to still work out. We got the gojuchang Buffalo sauce on the boneless wings and they were complete mush. Nothing was crispy. I've had Korean fried chicken in Ktown in NYC, Orlando, etc- typically it's double fried and hot (temperature wise) and this was luke warm and the skin was soggy. We got the yuzu pepper on the bone in wings and that was slightly crispier but still needs work. Loved the yuzu pepper sauce though! We received our last order which was the kimchi fried rice and it came out cold. They apologized and gave us a brand new order/Compensated us which we appreciated. 
Lastly their ban Chan was interesting.. Kimchi was watered down and the bean sprouts were chopped into little bite size pieces - it tasted like mush. 

Overall, would come back for the yuzu pepper sauce. Maybe in a few months when the food improves and the kitchen get more training...loved the concept and menu ideas but execution was lacking.",2021-02-21 13:42:31
-0KosxqqMBYNfJ7VuvBYDQ,YSL06t6e2iKo4ZHZnCZIxw,1.0,"Worst bakery ever. The bakery is filthy and the cupcakes are stale. While I was there, I saw a roach run across the floor. I left immediately. I recommend you try one of the other bakeries in the area. I have never had a worse experience with a bakery. And to add to it all, the staff are extremely rude! Grab a box mix cake and make it at home. At least it won't be stale and baked in filthy conditions.",2017-05-25 21:50:09
-0PAZdTUGDCLONQYLm7yCg,ynOYkpRAQIEGI-GGTByBKA,2.0,"This review is specifically about happy hour.  If you offer happy hour, and accept a reservation from a happy hour Meetup group, you need to be flexible. 
Upon arrival, on a Quiet Thursday evening, you won't seat part of a group of 20 until half arrive. Accepted. Went to the Patio Bar. (It's 95 Degrees, no problem, but also, no crowd) Bartenders Super, drinks well made and reasonably priced. Great Job. We achieve a quorum and get seated. Sorry! No split checks.  Unacceptable. It's 2017. We've been to 50 bars and restaurants in the Philly burbs and this is the ONLY one that refused.  No problem. We'll order from the bar, pay as we go and MAKE IT EASY FOR THEM. Sorry, No. You can't order from the bar and bring it to a table.  ""Can we speak to a manager?""  Out comes the Wicked Witch of the East.  WE HAVE RULES!  WTF. You can accommodate separate checks and food orders at the bar but not at tables 10 feet away?  Sorry. We all left. If it weren't for the great bar service, this would be a 1 star.",2017-07-20 22:18:48
-1MiSauypbVtNnWts4aXpA,4ADeBcc3O4zmTrp60H4O_A,2.0,I really wanted to love this place and support their reopening but I just can't. Burgers were cooked incorrectly and it was very expensive in my opinion. $50 for three burgers (one a child's) and baked potatoes is a bit much. If you want anything on your potato you pay for every topping which is excessive. The patties are very thick and when over cooked it's hard to eat. I'm usually willing to give restaurants a few tries (especially when they are first opening) but not for their prices.,2018-08-06 15:50:30
-1hk-8JOLJNqFjToa2Pjvw,m5ne44a3Vu7-zILKGxc4SQ,1.0,"As I was outside almost around the corner leaving the premises a guy in regular clothes comes up to me and asks me for my wrist band.  I was a bit confused and said no thanks buddy and said im leaving bye.  He then yelled at me to give him my wrist band.  When I said no im leaving again he yoked me up against the wall and 2 other guys came over and put me in a restraint, picked me up and tossed me to the sidewalk.  These guys are in fact employees of mad river.  They have absolutely no right to touch me especially when I am not inside of their establishment.  Even if I was they have no right to put their hands on me.  Why and how this is tolerated and accepted by most people is beyond me.

This is unacceptable and I will be going to the proper authorities to make my complaint.",2010-10-20 14:58:40
-4BEUkLvHQntN6qPfKJP2w,IkY2ticzHEn4QFn8hQLSWg,3.0,"Geno's Steaks are A-OK!

Having missed Geno's the first time I vacationed in Philly, I knew i had to make it there this time around. As a tourist- I wanted to try Geno's. As a Yelper- I realized there were probably better options in town. I had to try for myself. 

Of all the cheesesteaks I tried in Philly, Geno's packed the least punch. It seemed light on the steak, light on the cheese, and heavy on the bread. HOWEVER, it was still a tasty ass cheesesteak and deserves at least 3 Stars!! You Philly Yelpers have it so lucky if you consider Geno's to be on the lower end of the 'cheesesteak totem pole'- because I'd love to have a place like Geno's where I'm from!

Overall A-OK, light on the steak, light on the cheese, tourist destination #1.",2009-10-22 19:39:07
-4BEUkLvHQntN6qPfKJP2w,PP3BBaVxZLcJU54uP_wL6Q,4.0,"Pat's Steaks were damn good.

As a tourist, I did the rounds of several major cheesesteak spots and can say I thoroughly enjoyed Pat's. Their cheesesteaks were packed! The meat was chopped and packed thick- and it was dripping cheesy goodness! I'm not from Philly, so I can say this without any bias- Pat's was legit.

I'm aware that Pat's is considered a tourist cheesesteak shop, but this is one tourist shop I'll keep coming back to. Out of all the cheesesteaks I tried in Philly, this one was the fattest and cheesiest- I loved it.",2009-10-22 19:44:41
-4mjLXqAoAtQjqDFo9q9WQ,3AZjEgNM6CiOePDKKAQWgA,5.0,"Searching Yelp for somewhere to have dinner and I stumbled across DD Mau and after reading several reviews, decided I had to give them a try. And, I'm super glad that I did!  It's a bright and airy restaurant that is more ""fast casual"" than full service restaurant. I was warmly welcomed by both women working the front and they happily answered all of my questions and then I asked one to recommend a Bao bun & Pho. She recommended the pork as the best bun and the special Pho (rare beef, brisket & meatballs). She was SO on point! That was the best Bao bun ever. Soft & pillowy and filled to the brim with juicy pork & toppings and I chose spicy mayo as the icing on top. Could not love it more. 

I can honestly say that their Pho is also amazing. The broth is deeply flavorful without being too salty and I normally add a ton of hoisin & chili, but this broth really didn't need it. I added just a bit of each along with the usual accoutrements- fresh bean sprouts, fresh Thai basil, cilantro & lime.  Portions are huge so I have more than enough for lunch tomorrow too. Sweet! 

Lastly, I had the iced Matcha Green Tea Latte and it was good, but a tad too grassy for me. More Latte, less Matcha for me next time. I like a more subtle flavor, but if you like it strong you'll love it.  

A lot of people came in for take out as well, so it seems like they are doing really well for a 1 year old business. Can't wait to bring friends here! I'm craving another pork Bao Bun already. LOL!",2019-08-30 02:38:06
-4qa2JVDEC_QPVWcZ1nHkQ,ZpgVL2z1kgRi954c9m9INw,1.0,the chai tea is made with a powder mix... i could feel the powder in my mouth with each sip. i paid $5.50 for that shit!!!!,2016-08-04 04:06:13
-64J0wmRDJygG8G6U1LHaQ,GST3wg-wej15vHeCvaXE6w,1.0,"I don't normally write reviews because anywhere I go to with high reviews on Yelp is worth it, but this was the worst service I've ever experience. (And I travel a lot). Our server completely ignored us and had a horrible attitude. The place wasn't even crowded. 

There are so many great places in Nashville, so don't waste your time here. If I could review 0 stars I would have. So disappointed. Never coming back.",2016-01-18 01:40:35
