用户ID,用户名,用户评论数,注册时间,用户平均评分
qVc8ODYU5SZjKXVBgXdI7w,Walker,585,2007-01-25 16:47:26,3.91
j14WgRoU_-2ZE1aw1dXrJg,Daniel,4333,2009-01-25 04:35:42,3.74
q_QQ5kBBwlCcbL1s4NVK3g,Jane,1221,2005-03-14 20:26:35,3.85
MGPQVLsODMm9ZtYQW-g_OA,Jelena,1807,2008-01-19 22:50:00,4.06
RgDVC3ZUBqpEe6Y1kPhIpw,Monica,1282,2009-02-23 14:08:31,4.17
VHdY6oG2JPVNjihWhOooAQ,Jessica,2101,2005-07-21 01:16:04,4.22
K7thO1n-vZ9PFYiC7nTR2w,Yelper,1554,2007-12-26 23:05:41,3.68
uVtkixXCP7LXRpC1EedGpA,Paulina,77,2011-03-08 03:00:03,3.91
3zxy3LVBV3ttxoYbY4rQ8A,Farrah,2073,2008-05-12 09:13:06,3.95
FlhZYUEhfpfm0Ynxacftwg,Kate,94,2010-07-18 11:33:39,4.1
gRL9s6ENxV1qermRYDWjPQ,Moira,182,2010-08-18 05:34:05,3.8
0G-QF457q_0Z_jKqh6xWiA,Joi,2009,2008-03-12 19:13:45,4.1
ITa3vh5ERI90G_WP4SmGUQ,Peter,3193,2008-05-06 01:30:13,4.01
bCsS9EJOBTIxRGiqixB5rw,Tiffany,46,2010-10-14 22:55:15,3.08
8Akq8sh1LSmJbqa6Jjxxqg,Todd,376,2009-01-15 16:40:06,3.5
xHzU9LKwxGHq7BNPA16gog,Bill,48,2010-11-16 20:23:59,3.17
0kSXMbNFo7mdwTPj4iQv9A,Archie,1022,2008-11-25 08:46:24,2.98
jhuCv6dzRQ6a_kEaDvcrTA,Anna,388,2007-06-09 18:24:56,3.98
Z2pXm4f-2O5ZpMUmXuYK0Q,Michelle,183,2008-10-27 15:16:11,3.65
8ZryN_S-n48g6rsa3W3QtQ,Dani,2934,2008-10-27 21:47:03,3.39
UJEjJgi1xpmLR4b3J8fn2Q,Ken,341,2010-03-13 15:10:08,3.65
4PE0tDvV9Lo8VW8kDW1SFQ,Chris,113,2006-08-10 03:37:38,4.54
v9VCObZVWhOPdm1rKt8Dvg,Jonathan,258,2010-06-05 16:44:22,3.87
JITevzyEgskIJc6sgOyEgw,Kristin Marie,645,2008-02-11 19:45:49,3.89
drui1iMt-TPzJiSkQp5CtA,Felicia,212,2007-08-02 21:41:41,4.15
YWFbTcVnun8i03XnEU7kVg,Craig,762,2008-10-30 23:49:18,4.43
Ve0LUwcrzxL7w0RYgY4Aaw,Katy,1987,2008-08-22 16:38:41,4.2
m07sy7eLtOjVdZ8oN9JKag,Ed,5800,2006-07-22 01:22:26,3.71
s5o6DQgvrnmJlbw2IDM9zQ,Jenn,29,2008-07-29 22:48:12,4.09
ci7Q6NvXQ8UZrBHusVX18g,Gary,1289,2009-11-18 00:02:02,3.27
Js4nQlGRjS1Bd5vsAQQfgA,Tom,396,2008-03-31 01:11:13,4.43
HYQoxBC1y1DGPq6pGP09Tw,Matt,1999,2006-06-20 04:28:15,3.74
eTvp_hYnsrI5-ow_sQ31_g,Patt,1028,2010-07-13 15:42:03,4.05
1sGYXSkJHPhJ6wQtc-RbZw,Kimberly,820,2009-07-12 01:03:14,3.85
Qa2NoSc6DphQArihBgY9Gg,Brooke,1030,2007-05-28 19:12:41,2.94
in672plSIGcbOj2q5moYwg,Cricket,212,2010-09-19 07:20:27,3.88
OgYi5x02MBukfxPNFe1ePg,Colleen,1516,2009-09-17 13:53:53,3.84
J-urqhA-tYOqvwtxjkJfIA,Emily,35,2009-05-18 13:25:55,3.94
2XKlUjHGk9z-2ckFMcBEHw,Sheena,731,2012-05-06 16:17:55,3.95
2YKkLFeOx-0zRcWp0KUv_Q,Mark,564,2010-06-07 21:08:02,3.69
y5qEpAfJQaOjjG8ZJWrp6w,Jill,333,2007-03-24 15:47:23,4.23
M9puGD3VU5FuhE60HklCvg,Ruth,2400,2006-11-12 23:50:50,3.22
lf1m4CbheuUR7fFZoLGRvA,Rick,1126,2007-11-18 20:40:12,3.86
GG0mFsEXb-02_dzFPqRV1Q,Mandy,754,2011-08-30 13:46:26,3.46
y9WhhW724xLQ4p_lGQCQkA,Timothy,341,2009-05-22 01:32:07,3.36
H4Q_w39G5uBIkHUseMKhpg,Patrick,46,2010-03-18 15:06:41,3.96
YUFqbfAePA8tgT2zE2y4xQ,Annie,191,2008-04-10 02:46:54,3.78
5BpJEC8YVi80ecWT5CtlfQ,Jenny,2739,2008-09-11 01:51:00,3.62
3WSgEXBS9SQkLg37rF9G3g,S,460,2010-02-05 04:50:43,3.7
WWnhqRnWWjutMqh-2SzEuQ,Steph,3960,2008-07-09 06:30:28,4.23
2OLohmwFrl8ru4w1mUXtyw,Connie,371,2006-08-31 19:22:24,3.85
xyad5PXaHTdKrdNClXbMqQ,Christina,138,2009-01-28 02:15:26,3.08
HFECrzYDpgbS5EmTBtj2zQ,Eric,5887,2007-03-28 19:08:35,3.94
NNyr4wknApjc5nF9QOO2Mg,Melissa,186,2009-08-27 17:14:44,4.32
RmXIjppHNtVveguN10iO1g,Kevin,1356,2006-12-29 17:34:37,3.79
UKSw9kfoBfdatSMUl-jGnA,E,495,2006-03-12 17:04:39,3.56
FlXBpK_YZxLo27jcMdII1w,Mallory,1158,2011-02-21 20:33:35,4.02
lT0jFHCIloX3bnF5eu0ERg,Mikey,262,2009-09-28 15:42:26,3.96
3hANLGwpP5tXgHOes2XheA,Kimmi,282,2011-05-16 12:22:50,3.95
GmQR50bIII7gDNRYEgfXfA,Tiffany,1770,2009-04-23 03:02:03,4.17
rcU7ysY41qGppbw4pQgjqg,Damien,2057,2007-06-30 12:28:20,3.87
yU9VHS_AuXUKbdrzcoDTNg,Jillian,150,2009-07-22 07:26:29,3.94
o4tYl3Hz0oDfpNn4k02DCw,Sandy,1708,2010-01-20 16:22:09,4.01
JiUmz7l4rNz4-YmOj13i9g,Vicky,808,2007-12-27 18:26:42,3.79
ZIOCmdFaMIF56FR-nWr_2A,Randy,3315,2011-01-07 15:20:32,3.77
afPIUwUh0C_lgHvt77cneg,Adrienne,1000,2008-08-11 19:08:23,4.23
IDVFG1pNSHIHoVuoLuZpcQ,Andy,1593,2008-01-02 01:21:36,3.93
NVndhVfffw7ScRKviRdRYw,Sam,757,2009-01-25 10:05:04,3.93
sVr6_v-lwixu3VREOO9XpA,Aditya,404,2007-06-08 12:12:35,3.76
nBdv5Br4G8pDWXXqSXhUug,Holly,230,2009-01-24 19:48:04,3.98
g0_x4kVvJAYuk96oCcbOmw,Michael,455,2009-04-15 12:46:06,3.38
6Mv-qMJyxSokCu8YFM1o0A,Jason,202,2009-10-04 17:59:02,3.57
xTGpw0x5EUj11YFhwr6m2A,Jim,1303,2008-11-03 16:38:03,3.38
PLCijWEcAk74aiYxHb_tYA,Roland,658,2010-04-08 20:42:38,3.74
vScaSrM91Z43ypSR9VfKGg,Sophia,205,2010-11-04 03:23:05,3.67
g5qD10shooDJEPjt6miMrw,Lyn,1141,2007-06-30 21:55:42,3.6
_BcWyKQL16ndpBdggh2kNA,Karen,4274,2008-05-29 12:29:54,3.69
-NbeVN5tnwdyYAvdNkKMjw,Dominic,1101,2012-04-25 19:31:00,3.75
cbkk25sZbZZm_YFNZA-x2w,Smart,65,2008-06-06 04:38:13,2.46
w-w-k-QXosIKQ8HQVwU6IQ,Anthony,2741,2009-03-13 21:18:34,3.24
HZRfI9weev2Vr_w0jPF8-Q,Martha,208,2008-03-17 04:28:39,3.47
C7d80zl-Dp0juu3mwBoiPA,Jim,6,2011-02-14 00:24:42,4.67
kaHmTcEoVS3oQvfJfDe8kg,Collin,198,2011-04-07 03:02:03,4.13
73kIryVqqekf3-mlBd4ocQ,Hilary,160,2010-12-23 00:01:27,3.8
ET3TgSSQ3shm2mj5vZ8IVQ,Sara,297,2007-12-26 21:22:36,4.06
_WSEZA4e9KyxF1UBkf7HOw,Ryan,472,2009-03-05 22:29:43,3.96
h0Jn9rkacf3tGw5BeZMHWA,Ramona,185,2009-03-24 22:44:15,3.49
iZpzJ9k4dDgBjuC27MbjvQ,Lindsay,344,2011-01-05 20:46:28,4.13
EIt66bYmFr_2kbs5qsL-0Q,Bee,588,2008-06-30 17:59:48,3.6
F_5_UNX-wrAFCXuAkBZRDw,Rodney,1237,2008-11-17 06:15:22,4.09
gGuAM6Cw1VXJGLssm24ehA,Tiff,824,2009-03-04 14:41:44,3.27
gW-UD-NJ03CKXfqJ_E3wRQ,Erica,63,2010-04-10 03:28:36,3.99
JnGtgOPpkjyWOvWM0SYEXg,Hen,3614,2006-03-29 18:19:32,3.37
xxL-DwwdT5VGvss9mCzOGg,Adam,1888,2012-06-03 11:17:06,3.82
y3Wtx1pOvTiqsJRkjceXiw,Catherine,371,2008-12-15 23:29:58,3.39
o5STsEtfvD1Ig0J7Z-1uxA,Alex,2469,2009-06-15 22:35:02,4.17
Z0yHptbS93271s_h6LJOMw,Alice,1435,2008-05-23 03:38:19,3.32
HuoP7ejN-LSwkO1UIgmtaw,Andy,342,2008-04-20 16:55:31,3.86
ahnaBpvC29I66u_6JRzQFw,Staci,54,2009-02-10 19:03:42,3.41
p4UcEYTLJyh96o1R8wrJaQ,Claudia,1466,2010-07-06 18:51:49,3.86
Xw7ZjaGfr0WNVt6s_5KZfA,Marielle,2272,2010-12-22 09:41:56,4.1
pou3BbKsIozfH50rxmnMew,Brett,2812,2012-01-11 17:19:55,4.28
Er_1k4cl0VwKz9tfIn-FBw,Lynn,508,2010-05-26 17:09:41,4.37
TES0PPhg-9jaFj9v28M0cw,Lisa,212,2007-07-28 22:22:09,3.78
OXlfFHsM15JYh_lvat2w2w,Lor,439,2010-11-27 18:24:30,3.89
rMsB82tk9uOB6JumPMgczg,Brett,603,2007-08-03 01:52:10,3.83
wEE-YMx5pmSuagLtNxMPKA,Stephanie,2000,2007-08-16 13:41:49,3.85
-8PU0Z4Q2Nc-sY0eBj4DiQ,David,126,2011-07-20 14:26:49,4.5
BPZEAoU0sB6CFGusTErUuA,Vince,1995,2010-08-22 07:08:32,3.78
LF7Be6qpZvTZ9FY4D5GoEw,Jason,450,2011-06-24 17:40:35,3.34
4P8qDuDy3C8s6Rkm5wEI4Q,David,149,2008-02-27 01:18:23,3.71
2bHSZhM0huV8LRh3YHaOSQ,Jennifer,1827,2006-03-08 17:56:29,3.6
AXIg6GNmjRGrYrg2FP5dwA,Phil,40,2008-07-12 18:08:28,4.4
SDytcPY5fiuuDbTkPE8GyA,Pinky And The,1465,2008-01-26 21:49:15,3.54
VfcceTxKiBq4xaeZFywRQg,Michelle,11,2008-07-08 19:17:02,3.27
Rb1yFgZWNnoTmf9nPAgalw,Honey,231,2007-09-25 01:24:38,3.65
tZA9Uztmj69tgvlHiiMKsg,Chelsea,1124,2009-12-31 21:59:20,3.99
4kKngcDGjuzo18pxx5jHog,Amanda,409,2007-06-20 20:27:48,3.85
0Igx-a1wAstiBDerGxXk2A,Jen,2733,2009-01-14 18:31:29,4.06
Kj-u8Yq1d3mLKitWsDAxpg,DJ,793,2008-04-22 21:44:02,3.58
ZZPaQmmnEiL1fyN-4qtvJg,Joseph,206,2008-07-13 16:33:50,3.9
7Z3QZnc9CFRH_bPRGN-Oiw,Suzanne,323,2009-07-23 16:00:08,3.42
p5eKzfGUZ7duXbDM0AM5bA,J,843,2006-11-03 05:49:39,3.91
6WG2IGTVr-xKn0pYQZJGjw,Felicia,323,2008-02-02 03:37:15,4.19
nj3syiLs3lABLtPVyL0ivA,Javier,1986,2008-03-05 08:15:58,3.77
sEEGucq7vg0_yT25miGmsA,Charles,50,2010-05-04 04:15:12,4.06
DDcg8gaCLBU7uvh_iGJwAg,Katie,66,2009-04-09 13:49:45,3.88
37HswRimgBEf7_US-c3CDA,Adrienne,2619,2007-02-21 02:31:17,4.0
V29HZxa2FS06KqsAfrSIHQ,Craig,129,2007-06-15 17:13:55,3.63
XwbnUSJeDscLDGfe4A1x3Q,mike,436,2006-08-13 03:32:13,3.12
UlWDGR0QrBbdFsVY6ugocw,Aimee,885,2010-04-29 14:32:53,4.24
lMl3gDOuKT7hmlkwJ8it5A,Paige,321,2010-08-03 19:12:40,4.09
EP8o8JnQSI0WEkeodwA8lA,Bobby,613,2010-04-09 22:16:16,2.77
eLHsnsI2YDuGwIdFqYFhnA,Dan,649,2008-07-23 19:00:30,3.89
mKBl4fAqTfNts7B78aOPVg,Dave,752,2009-10-11 04:00:50,3.68
005GchcM1HWBH3SFKrIxBA,Naomi,420,2011-10-15 21:42:17,4.04
2--3--v8yHU3a3FljCcBRg,William,189,2007-07-16 01:05:35,3.89
knyL5Q53vbgGmEBQLPLxVQ,Joshua,227,2010-12-27 21:32:43,3.53
rt3MZtOmwB0hohjILz45DQ,Ashley,388,2008-11-23 02:55:07,4.06
qUGMYSGV24KD8QFCdGGIlQ,Alysia,647,2008-06-11 16:55:38,3.81
IEvHRP2gZcRSlWsKFdj3nA,Erin,71,2010-04-24 21:07:39,3.67
AiIISHAAp5I1PF5fClkmMw,Ted,24,2008-11-24 22:18:05,4.17
qTMK2qr6ngof4fe29qyooA,Allison,254,2010-02-28 19:04:59,3.53
VVNj3hSE8drWCu8xUXH05Q,Lyrad,192,2011-08-14 20:59:33,4.16
q76sFjjZr3QhUzsA8N1jmg,Ryan,94,2008-03-25 22:51:02,4.15
FVndKRU3IidTvAhOtIKlvw,Samantha,105,2008-08-31 16:03:04,3.79
cHZhssS9U7FXOsxUDISNVQ,Jason,315,2008-09-07 07:50:52,3.32
snfg5hrEoUVYwkD4IcKeuw,Christina,75,2008-12-30 17:20:18,4.17
g35P2UgyRK1ercs6rVkN1Q,Seve',244,2007-08-15 15:49:52,3.59
m-n_AHwndmHAgZIsu52kYA,Tracy,689,2007-12-30 08:55:20,4.04
YttDgOC9AlM4HcAlDsbB2A,Phil,4478,2009-09-02 15:30:08,3.57
KXYRjdlgg-Gw7mwF22ZAJg,Dennis,450,2008-04-24 19:14:19,3.83
27wY36k_bVHmEbKoLkh1wg,Anne,397,2009-10-07 15:20:57,3.82
Pf7FI0OukC_CEcCz0ZxoUw,Don,2403,2007-07-10 21:19:17,3.93
LcBZt_bpU5CqwtDJwB3OCg,Lily,509,2009-01-01 07:28:52,3.36
xqvAeGXOtCKd5z3b7kUauA,Kathi,269,2009-05-16 22:48:53,3.45
v_7lmS6pGGkq6n0X9EljIQ,Belly,1118,2009-10-15 15:57:38,3.61
aGI_wfhcJ86DJ-67Lkty8g,Di,435,2009-12-22 21:48:20,3.72
s8nkbQAlrVPfg1u4anGKtw,Kelly,1556,2009-03-09 23:51:27,3.95
84HvpQDxcHWmbMDfs8IEYw,Chrissy,534,2007-05-16 18:41:55,3.56
zQT7oLYJcT94GSHcEC_ELQ,David,38,2009-09-17 21:02:58,3.64
hDRGivuKGsWEMSLvAMxyOw,Richard,510,2010-11-29 18:21:04,3.99
MGqAAAAv1bCLybzsAZo6cA,F,372,2008-04-11 12:56:12,3.4
Lu8y2ayxVlAzuJEVfVcH4w,Rebekah,2482,2007-07-31 18:56:16,4.23
CFyvX-AZh6cunAMu_zoF_w,Rosalie,173,2009-03-30 04:58:32,3.6
E2RmKWGpVIk1u-cO-ajUGA,Akshay,127,2009-07-17 19:57:11,4.5
