用户ID,商家ID,评分,评论时间
--56mD0sm1eOogphi2FFLw,bPVPZeqMuYtU_yGCb4P-jg,4.0,2019-07-27 00:54:18
--_N9jPdYR9WdJKQhekANg,dEMsUFNB4ckBFdB90jKLEA,1.0,2016-06-20 05:30:23
--u09WAjW741FdfkJXxNmg,pqcYTOo8kMYoNt4fjOm_vQ,3.0,2021-02-21 13:42:31
-0KosxqqMBYNfJ7VuvBYDQ,YSL06t6e2iKo4ZHZnCZIxw,1.0,2017-05-25 21:50:09
-0PAZdTUGDCLONQYLm7yCg,ynOYkpRAQIEGI-GGTByBKA,2.0,2017-07-20 22:18:48
-1MiSauypbVtNnWts4aXpA,4ADeBcc3O4zmTrp60H4O_A,2.0,2018-08-06 15:50:30
-1hk-8JOLJNqFjToa2Pjvw,m5ne44a3Vu7-zILKGxc4SQ,1.0,2010-10-20 14:58:40
-4BEUkLvHQntN6qPfKJP2w,IkY2ticzHEn4QFn8hQLSWg,3.0,2009-10-22 19:39:07
-4BEUkLvHQntN6qPfKJP2w,PP3BBaVxZLcJU54uP_wL6Q,4.0,2009-10-22 19:44:41
-4mjLXqAoAtQjqDFo9q9WQ,3AZjEgNM6CiOePDKKAQWgA,5.0,2019-08-30 02:38:06
-4qa2JVDEC_QPVWcZ1nHkQ,ZpgVL2z1kgRi954c9m9INw,1.0,2016-08-04 04:06:13
-64J0wmRDJygG8G6U1LHaQ,GST3wg-wej15vHeCvaXE6w,1.0,2016-01-18 01:40:35
-7qUbOVWJp2NT3f_TNuIBA,WSx9-iYYyST_umny9sJBFg,5.0,2020-03-30 20:29:34
-7qUbOVWJp2NT3f_TNuIBA,tlmxMUrk9xRvYzH0xo1Olg,5.0,2021-01-02 20:20:31
-7z82JPvUm5mVs3u3kiCeQ,dYYkzkiAQoOtRjdR0kcspw,5.0,2016-10-11 00:50:41
-8EnCioUmDygAbsYZmTeRQ,QBNATcq7Stx9LxcSq16W7w,4.0,2015-10-15 08:04:05
-8EnCioUmDygAbsYZmTeRQ,tthy48ZIX_wfY8Dy0Dvg6w,5.0,2016-09-07 22:07:36
-8HoPzdMhM1p3Px8tSxnZQ,oBNrLz4EDhiscSlbOl8uAw,5.0,2018-10-28 14:41:31
-8HoPzdMhM1p3Px8tSxnZQ,rcSmNigVYkJzz-pzd5nIMA,5.0,2015-07-05 20:47:46
-8PU0Z4Q2Nc-sY0eBj4DiQ,3dQaEBDWOyqDYhP3-ac7NQ,5.0,2020-04-26 20:11:43
-9-uNREEWNbkqqsTuZpCRg,_HcAoG6Jj_XTj4-XNEbo6Q,4.0,2020-01-01 00:39:58
-98eYiCNMmsVgeBFnQNhpw,lYloPAiaWJwWgno4SdxD0Q,1.0,2014-07-18 18:29:57
-9I98YbNQnLdAmcYfb324Q,OZi0fOn8-ISUwhEAWC_8Gg,3.0,2015-05-30 15:02:46
